ID	conditionA_1	conditionA_2	conditionA_3	conditionB_1	conditionB_2	conditionB_3
ENSP00000003084	-2.59625000440656	-3.10591194211342	-1.93620619162537	-0.488750375017888	-1.6801612056504	-1.82507197744497
ENSP00000005226	-4.35019296822828	-1.81627409352768	-0.974339127852837	-0.931523079987722	-0.301069292929403	-2.81328871340725
ENSP00000005257	-1.66910977174048	-1.6044037926641	-0.542864862472881	-1.87202747671943	-3.22885981771701	-2.82553907228021
ENSP00000005279	-1.99851651192445	-4.05744063005115	-2.56494749069908	-0.748747197843146	-1.6126235492141	-0.538947489612887
ENSP00000006053	-0.844713848230123	-2.53405793945037	-3.01512385728906	-4.09084441188186	-0.681887702048664	-3.25208986357892
ENSP00000006275	-0.429932629597982	-3.28112842605618	-1.04425822197341	-0.102279346454253	-3.63722589033275	-2.34781082515122
ENSP00000007722	-0.692368556119968	-3.01966346622	-2.71408501974726	-1.48404247055792	-0.583628868686229	-1.2365897711661
ENSP00000008527	-1.9061818793289	0.268557947742361	-2.0836551341286	-3.05798109342121	-1.79426134130863	-1.82640578984399
ENSP00000009530	-3.69868444436544	-2.45205434988271	-0.373064538964877	-2.80026951682308	-2.67414826570247	-1.34386554265702
ENSP00000009589	-0.749929000856526	-0.870519634308054	-0.51589812885445	-1.43361337787066	-1.20867308697344	-0.84539943620488
ENSP00000011653	5.06948903141821	3.78442673892186	2.19719025156057	3.19400568447304	3.70839936355388	5.30201370825899
ENSP00000012134	-1.63774218109435	-2.31570609855494	-1.56336723849722	-0.802841865548407	-2.83172401374784	-1.59588627818405
ENSP00000013807	-1.44938009275323	-1.85309597202369	-1.70368519272212	-0.976296054973417	-4.73318561477409	-2.38855096950233
ENSP00000019317	-2.85589022518869	-2.21028110257592	-1.06037891033746	-2.53588792452939	-2.27884710753426	-1.86362286839628
ENSP00000025301	-0.228967794325657	-2.2054030355926	-1.16486803884552	-1.56354117460467	-0.727339518686901	-3.11833780242128
ENSP00000035307	3.72725365486939	4.78835676560578	4.72479643337625	3.0951331951738	4.24047227548235	2.98207412533973
ENSP00000043402	1.26304589663516	-2.6736135013224	-2.98626156343679	-1.95097006787217	-2.36816109412963	-0.953716056609411
ENSP00000044462	9.11132844820713	9.02672484355477	9.95978981096984	0.116696222204887	0.565993920345071	1.7328768203289
ENSP00000046794	2.73160644727832	5.65843272692956	2.17720796842254	4.68744504241321	4.82650451648326	5.13421626014238
ENSP00000052754	-1.54754011362735	-3.19002292677653	-2.17310221044581	-2.81086665404845	-1.54610663354135	-1.84911456844321
ENSP00000053243	-1.74624357191131	-1.9158283736136	-1.7539461473213	-3.2558058687866	-2.81338031196442	-1.3216344345091
